Restaurant ID,Restaurant name,Order ID,Subtotal,Delivery fee,Total taxes,Total,Payment method,Fulfillment date (YYYY-MM-DD),Fulfillment time,Service fees on subtotal
402970,A&W,568025533,25.78,4.5,1.45,37.85,PayPal,2022-09-13,20:13,2.84
402970,A&W,568200472,23.38,4.5,1.44,37.31,ONLINE,2022-09-14,11:11,2.57
402970,A&W,568438398,40.86,0,2.27,52.13,ONLINE,2022-09-14,19:02,4.49
402970,A&W,568466546,37.66,0,2.28,51.98,ONLINE,2022-09-14,20:40,4.14
402970,A&W,568770366,45.83,0,2.29,53.16,CARD,2022-09-15,14:18,5.04
402970,A&W,569869472,56.36,0,3.32,75.84,ONLINE,2022-09-17,13:05,6.2
402970,A&W,570524816,34.17,4.5,1.71,44.14,ONLINE,2022-09-18,14:48,3.76
402970,A&W,570578332,33.05,4.5,2,50.12,ONLINE,2022-09-18,16:30,3.64
402970,A&W,570659196,24.99,4.5,1.25,33.49,ONLINE,2022-09-18,19:02,2.75
402970,A&W,570702558,27.53,4.5,1.52,39.44,ONLINE,2022-09-18,21:01,3.03
402970,A&W,570881695,12.19,4.5,0.61,18.64,CASH,2022-09-19,11:28,1.34
402970,A&W,571008346,49.93,0,2.5,57.92,CARD,2022-09-19,16:30,5.49
402970,A&W,571040132,27.77,4.5,1.63,41.71,ONLINE,2022-09-19,17:51,3.05
402970,A&W,571105625,56.92,0,2.85,66.03,CARD,2022-09-19,22:01,6.26
402970,A&W,571423691,16.89,4.5,0.84,24.09,CARD,2022-09-20,17:07,1.86
402970,A&W,571678424,12.68,4.5,0.68,20.35,ONLINE,2022-09-21,10:49,1.39
402970,A&W,571727766,36.21,0,1.95,44.94,PayPal,2022-09-21,12:17,3.98
402970,A&W,571800377,37.17,0,2,46.12,ONLINE,2022-09-21,15:11,4.09
402970,A&W,571852017,17.18,4.5,0.86,24.43,CASH,2022-09-21,16:57,1.89
402970,A&W,571882735,49.16,0,2.46,57.03,CARD,2022-09-21,18:21,5.41
402970,A&W,572139009,17.64,4.5,1.13,30.2,ONLINE,2022-09-22,11:08,1.94
402970,A&W,572140089,32.27,4.5,2.05,51.15,ONLINE,2022-09-22,11:09,3.55
402970,A&W,572155811,20.48,4.5,1.02,28.25,CASH,2022-09-22,11:35,2.25
402970,A&W,572198237,13.99,4.5,0.7,20.73,ONLINE,2022-09-22,13:13,1.54
402970,A&W,572346331,26.48,4.5,1.4,36.97,ONLINE,2022-09-22,18:12,2.91
402970,A&W,572388712,42.95,0,2.15,49.82,CASH,2022-09-22,20:02,4.72
402970,A&W,572873086,35.47,0,1.77,41.14,CARD,2022-09-23,17:01,3.9
402970,A&W,572913810,41.56,0,2.31,53.03,ONLINE,2022-09-23,17:55,4.57
402970,A&W,572958167,37.56,0,2.13,48.8,ONLINE,2022-09-23,19:28,4.13
402970,A&W,573210271,24.3,4.5,1.22,32.69,CARD,2022-09-24,10:55,2.67
402970,A&W,573217418,36.94,0,2.05,47.14,ONLINE,2022-09-24,11:17,4.06
402970,A&W,573609414,18.87,4.5,0.94,26.39,CARD,2022-09-24,21:30,2.08
402970,A&W,573940159,47.02,0,2.35,54.54,CARD,2022-09-25,14:30,5.17
402970,A&W,573950937,30.37,4.5,1.77,44.89,Card (G-Pay / via Browser),2022-09-25,14:44,3.34
402970,A&W,574390722,19.67,4.5,0.98,27.31,CASH,2022-09-26,15:03,2.16
402970,A&W,574501300,15.29,4.5,0.9,25.23,ONLINE,2022-09-26,20:43,1.68
402970,A&W,574516426,24.28,4.5,1.35,35.6,ONLINE,2022-09-26,21:54,2.67
402970,A&W,574906242,18.18,4.5,1.15,30.59,PayPal,2022-09-27,20:14,2
402970,A&W,575104591,17.56,4.5,0.88,24.87,CARD,2022-09-28,11:07,1.93
402970,A&W,575317951,36.76,0,1.84,42.64,CARD,2022-09-28,19:08,4.04
402970,A&W,575355283,13.28,4.5,0.66,19.9,CASH,2022-09-28,21:31,1.46
402971,Booster Juice,553946415,22.31,4.5,1.12,30.38,CARD,2022-08-17,16:33,2.45
402971,Booster Juice,554505543,39.74,0,1.99,50.71,ONLINE,2022-08-18,18:39,4.37
402971,Booster Juice,554860749,17.98,4.5,0.9,27.86,PayPal,2022-08-19,12:09,1.98
402971,Booster Juice,555555483,24.5,4.5,1.23,32.93,CASH,2022-08-20,13:33,2.7
402971,Booster Juice,555645148,31.7,4.5,1.59,41.28,CARD,2022-08-20,16:04,3.49
402971,Booster Juice,557242970,18.45,4.5,0.92,25.9,CARD,2022-08-23,19:34,2.03
402971,Booster Juice,558037532,14.72,4.5,0.74,21.58,CASH,2022-08-25,13:35,1.62
